Channel Link,Channel Name,Channel Icon,Affinity Index,Power of Influence,Views,Users,Age,Gender
https://www.youtube.com/channel/UC03jtg6Imz882ZCPnB7bZ0w,5 분 Tricks,https://yt3.ggpht.com/ytc/AKedOLTG4Rzb1IYQIWG1LHK5o7ydp9bDRvyLU5kLDGIg=s88-c-k-c0x00ffffff-no-rj,0,0,100,100,"25-34 : 41.9%
18-24 : 15.1%
35-44 : 43.0%","Female : 53.5%
Male : 46.5%"
https://www.youtube.com/channel/UC0AtYpkYftjI3UrNlJcGJWA,محمد فتحي,https://yt3.ggpht.com/J_xYlTwxQPmhSIPYLFTznrlpTuz5IqSjze5lMZmirqbRBaStCCqnloeRyus-VpUgzvrauYtn1Tk=s88-c-k-c0x00ffffff-no-rj,0,0,100,100,"25-34 : 4.6%
18-24 : 43.1%
Unknown : 47.7%
45-54 : 4.6%","Female : 47.7%
Male : 52.3%"
https://www.youtube.com/channel/UC0AyZZxWtZNKQErJv4nH4Ww,‫قناة فكرة التعليمية Hassan Agwa‬‎,https://yt3.ggpht.com/1E6NH3JD_d3Ct-dkwqy4T1Gi2JnHN3YxbHjkKI2mksjvHi8IQaFNef-uLG70jYSbTvIi3OO8aA=s88-c-k-c0x00ffffff-no-rj,0,0,100,100,"25-34 : 25.6%
18-24 : 30.8%
Unknown : 10.3%
35-44 : 25.6%
45-54 : 7.7%","Female : 25.6%
Male : 74.4%"
https://www.youtube.com/channel/UC0G6pB0SbvVzbjrFKb6NV9w,alihosayny-علي الحسيني,https://yt3.ggpht.com/ytc/AKedOLS_PpvEEopai0o6at-roOlgzyamuoUhO2fe0i0SKw=s88-c-k-c0x00ffffff-no-rj,1,0,150,100,18-24 : 100.0%,Male : 100.0%
https://www.youtube.com/channel/UC0KkjTvjAw7ShORA1ZIbDKw,حياتنا اليوم,https://yt3.ggpht.com/ytc/AKedOLRRxJOjEVclTYKwv5tSkhjD9wM_kXFrF2JfyjIk=s88-c-k-c0x00ffffff-no-rj,0,0,100,100,"25-34 : 38.5%
18-24 : 30.8%
35-44 : 30.8%",Male : 100.0%
https://www.youtube.com/channel/UC0LSnqrwqtMwl2YwfUpO66g,Al Jazeera Documentary الجزيرة الوثائقية,https://yt3.ggpht.com/JCd3yYW5VQ_1WDp_WeOuTQKfirbbllGbib4IcXTJLYc_11q6O7GZNiJqeXJYo76irMN-rhpw=s88-c-k-c0x00ffffff-no-rj,0,0,100,100,"25-34 : 35.3%
18-24 : 23.5%
35-44 : 25.5%
45-54 : 15.7%","Female : 7.8%
Male : 92.2%"
https://www.youtube.com/channel/UC0Lmmc4SeJ5WuImJC-S26VA,مستشارك العقارى جو,https://yt3.ggpht.com/ytc/AKedOLSuT1ZOWTfqsEd5Rkql7OIp9Z2HkPdpyDa-Ks-oDA=s88-c-k-c0x00ffffff-no-rj,25,0,250,150,,
https://www.youtube.com/channel/UC0O5dj_jhQsJZ474mspnYWA,راويه احمد💓.,https://yt3.ggpht.com/Hm7LIXKsHesvFb1SM-nFcUsIWJE7-Wys0rIQ_TJr_EZzpX_qbVBhocuuyR_oRHrHSCDcmHvyIw=s88-c-k-c0x00ffffff-no-rj,10,0,100,100,,
https://www.youtube.com/channel/UC0OGUhhmMn73xoepNq2zqFQ,تك أونلاين T e c h o n l i n e,https://yt3.ggpht.com/wqZDPRg-Urpbk6x7YaycM6CJ4EFwFgSlw40c8eJ5IMgQwR7QxGKBFoqCtSuRTsqg-V3bEr5AyNM=s88-c-k-c0x00ffffff-no-rj,2,0,300,100,"25-34 : 27.3%
18-24 : 72.7%",Male : 100.0%
https://www.youtube.com/channel/UC0PClesNONq7W_h1Mvj1z2g,Tamer Hosny,https://yt3.ggpht.com/KFhJnfkTCa1blteahmiYKmyc899CnQarLoqtXqUApPuG_oM1vUW9b6M7diy2Re1mdjFt3creISc=s88-c-k-c0x00ffffff-no-nd-rj,0,0,1000,1000,"25-34 : 30.6%
18-24 : 41.2%
Unknown : 9.2%
55-64 : 1.2%
35-44 : 14.1%
45-54 : 3.8%","Female : 50.9%
Male : 49.1%"
